objid,crowded,badbkgmatch,ra,dec,l,b,nmatches,nreject,nbands,i1_fluxtype,i2_fluxtype,i3_fluxtype,i4_fluxtype,m1_fluxtype,i1_fluxflag,i2_fluxflag,i3_fluxflag,i4_fluxflag,m1_fluxflag,i1_softsatflag,i2_softsatflag,i3_softsatflag,i4_softsatflag,i1_f_ap2,i1_df_ap2,i2_f_ap2,i2_df_ap2,i3_f_ap2,i3_df_ap2,i4_f_ap2,i4_df_ap2,m1_f_psf,m1_df_psf,i1_extfrac,i2_extfrac,i3_extfrac,i4_extfrac,m1_extfrac,i1_brtfrac,i2_brtfrac,i3_brtfrac,i4_brtfrac,m1_brtfrac,i1_snr,i2_snr,i3_snr,i4_snr,m1_snr,i1_seflags,i2_seflags,i3_seflags,i4_seflags,m1_dflag,m1_sflag,i1_meannoise,i2_meannoise,i3_meannoise,i4_meannoise,m1_meannoise,smid,regid,irac_obstype,mips_obstype,i1_coverage,i2_coverage,i3_coverage,i4_coverage,m1_coverage,twomass_key,twomass_assoc,twomass_ra,twomass_dec,j,dj,h,dh,k,dk,DR3Name,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,SolID,Source,RandomI,e_RAdeg,e_DEdeg,Plx,e_Plx,RPlx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RADEcor,RAPlxcor,RApmRAcor,RApmDEcor,DEPlxcor,DEpmRAcor,DEpmDEcor,PlxpmRAcor,PlxpmDEcor,pmRApmDEcor,NAL,NAC,NgAL,NbAL,gofAL,chi2AL,epsi,sepsi,Solved,APF,nueff,pscol,e_pscol,RApscolCorr,DEpscolCorr,PlxpscolCorr,pmRApscolCorr,pmDEpscolCorr,MatchObsA,Nper,amax,MatchObs,IPDgofha,IPDgofhp,IPDfmp,IPDfow,RUWE,Dup,o_Gmag,FG,e_FG,RFG,Gmag,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag,e_RPmag,E(BP/RP),NBPcont,NBPblend,NRPcont,NRPblend,Mode,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,RVNper,RVS/N,RVgof,RVchi2,RVTdur,RVamp,RVtempTeff,RVtemplogg,RVtemp[Fe/H],Vatmparam,vbroad,e_Vbroad,o_Vbroad,GRVSmag,e_GRVSmag,o_GRVSmag,RVSS/N,VarFlag,PQSO,PGal,PSS,Teff,b_Teff_x,B_Teff_xa,logg,b_logg_x,B_logg_xa,[Fe/H],b_[Fe/H]_x,B_[Fe/H]_xa,Dist,b_Dist_x,B_Dist_xa,A0,b_A0_x,B_A0_xa,AG,b_AG_x,B_AG_xa,E(BP-RP),b_E(BP-RP)_x,B_E(BP-RP)_xa,Lib,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,RADEcorJ2000,angDist,ir_ratio,J_H,H_K,J_K,BP_RP,BP_G,G_RP,j_SNR,h_SNR,k_SNR,good_2mass,good_gaia_phot,good_astrometry,k_dwarf_color,k_dwarf_color_strict,dist_pc,dist_pc_err,good_parallax,G_abs,J_abs,K_abs,k_dwarf_absmag,k_dwarf_teff,k_subtype,A_G,A_J,A_K,Gmag_dered,BPmag_dered,RPmag_dered,j_dered,h_dered,k_dered,flag_giant,flag_mdwarf,flag_high_pm,flag_binary,flag_variable,contaminant,validation_score,validation_tier,confidence
SSTSL2 J183221.07-011528.4,1,0,278.087793,-1.257906,29.631122,3.669786,1,0,7,1,1,1,1,1,2,2,2.0,0,0,0,0,0.0,0,13930.0,13.08,9175.0,8.025,6383.0,18.24,3586.0,11.92,622.9,122.1,0.0,0.0,0.0,0.0,0.0,0.98,0.95,0.95,0.0,0.0,968.4,1036.2,350.2,336.6,5.1,3,3,0.0,0,N,1,1.148,1.416,5.055,7.057,83.14,30002561,30002561-33946,0,0,3.94,10.0,3.36,11.5,16.08,414496549.0,1,278.0878,-1.257925,8449.0,202.3,19160.0,441.2,22760.0,482.2,Gaia DR3 4271989156548409344,278.0877812,-1.257926624,0.0,0.0,161,1.63615e+18,4.27199e+18,431732958,0.1745,0.1822,1.2013,0.239,5.0272,0.726,0.326,0.217,0.649,0.179,-0.0344,0.1539,0.0536,-0.2866,-0.5289,-0.1339,-0.2029,-0.2535,0.1261,-0.0015,182,0,182,0,-2.5209,261.01,0.734,3.3238,95,False,,0.9533,0.0518,-0.192,0.237,-0.257,-0.088,0.024,21,13,0.304872,21,0.0249,30.8,0,0,0.867,0,177,968.92239,2.09839,461.745,18.221643,0.003622,13,55.1024,11.8305,4.65768,20.985615,0.233123,20,1675.65,11.8276,141.672,16.687439,0.008545,1.786,0.0,0.0,0.0,0.0,0,4.298176,2.763971,1.534204,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,1.0,4547.9,4434.5,4606.3,4.0914,4.0811,4.1069,0.5148,0.3961,0.6097,287.7396,271.2463,300.2082,9.733,9.5847,9.8111,6.026,5.9046,6.0802,3.4549,3.3972,3.4829,MARCS,278.0877797,-1.257929507,3.468256,2.900855,0.021,0.085551,1.5182561307901907,-10711.0,-3600.0,-14311.0,4.298175999999998,2.763971999999999,1.534203999999999,41.76470588235294,43.42701722574796,47.200331812525924,True,True,True,False,False,832.4315325064513,165.61319925833834,True,8.619900385369226,8439.39825738537,22750.39825738537,False,True,K2-K1,6.026,1.6270200000000001,0.66286,12.195643,14.959615,10.661439000000001,8447.37298,19160.0,22759.33714,False,False,False,False,False,False,0.6000000000000001,Bronze,Likely
SSTSL2 J154503.74-342820.5,0,0,236.265607,-34.472387,339.032652,15.958849,1,0,7,1,1,1,1,1,2,2,2.0,0,0,0,0,0.0,0,14830.0,9.931,9356.0,11.42,6547.0,18.7,3699.0,17.87,322.8,37.11,0.0,0.0,0.0,0.0,0.0,0.98,0.95,1.02,0.0,0.0,1347.6,743.3,337.0,255.1,8.7,0,0,0.0,0,N,1,0.9984,1.465,5.983,7.692,55.74,40011571,40011571-10,0,0,6.93,5.31,6.27,5.88,73.34,161255118.0,1,236.2656,-34.47232,29730.0,629.8,37770.0,835.0,31100.0,658.9,Gaia DR3 6014690931678667520,236.2654576,-34.47241938,0.0,0.0,123,1.63615e+18,6.01469e+18,588631154,0.0181,0.0143,5.1839,0.023,225.8654,28.864,-22.676,0.025,-17.858,0.019,-0.5258,0.0271,0.1028,-0.2112,-0.0639,-0.0031,0.6461,-0.2768,-0.1006,-0.2004,531,0,531,0,0.6117,524.54,0.0,0.0,31,True,1.339,,,,,,,,61,16,0.035815,68,0.04807,76.88,0,0,1.018,0,587,33113.02583,11.8828,2786.63,14.38737,0.002783,66,9296.29,14.3416,648.202,15.417768,0.003254,64,35082.8,28.2378,1242.41,13.385159,0.003879,1.34,0.0,0.0,0.0,0.0,0,2.03261,1.030398,1.002212,-31.52,3.09,2.0,26.0,5.0,11.0,11.566,,,922.664,,4250.0,2.5,-1.5,111.0,,,,12.921431,0.033591,22.0,,VARIABLE,0.0,0.0,0.999987,4880.0,4766.1,4965.5,4.5803,4.5315,4.5905,-0.4534,-0.5994,-0.3264,187.9146,184.7952,191.915,2.3827,2.2793,2.4639,1.7588,1.676,1.8232,0.956,0.912,0.9894,MARCS,236.2655798,-34.47234001,0.397624,0.296596,-0.1984,0.458549,1.5850790936297563,-8040.0,6670.0,-1370.0,2.0326090000000008,1.030398,1.0022110000000009,47.205462051444904,45.23353293413174,47.199878585521326,True,True,True,False,False,192.90495572831264,0.8558834047244721,True,7.960653075937806,29723.573283075937,31093.573283075937,False,True,G9,1.7588,0.474876,0.193468,12.62857,13.658968000000002,11.626359,29729.525124,37770.0,31099.806532,False,False,False,False,True,False,0.6000000000000001,Bronze,Likely
SSTSL2 J223749.58+750406.4,0,0,339.456593,75.068451,114.509551,14.427064,1,0,7,1,1,1,1,1,2,2,2.0,0,2,0,0,0.0,0,19080.0,10.84,13200.0,9.137,9284.0,25.67,7214.0,16.55,99530.0,62.2,0.0,0.0,0.0,0.0,0.9,1.02,1.02,0.95,0.0,0.9,1601.5,1320.1,317.5,423.2,1600.0,2,2,0.0,0,P,-1,0.8298,0.8472,3.479,3.648,54.93,40017321,40017321-5,0,0,4.08,4.13,3.82,4.14,68.97,747386350.0,1,339.4564,75.06847,30390.0,671.9,41000.0,1171.0,34990.0,838.0,Gaia DR3 2279552247381849600,339.4566137,75.06846629,0.0,0.0,6,1.63615e+18,2.27955e+18,680270182,0.0122,0.0149,2.8843,0.0149,193.2157,6.425,6.373,0.016,0.819,0.019,0.0433,0.0871,-0.1188,-0.0797,0.2373,-0.1141,-0.0137,-0.1884,-0.1448,0.0063,357,0,356,1,3.3877,426.47,0.051,1.2762,31,False,1.346,,,,,,,,42,26,0.027022,46,0.007796,110.7,0,0,1.13,0,386,39098.71254,97.1548,402.437,14.206961,0.003856,45,11472.2,103.647,110.685,15.189428,0.010198,44,41174.2,293.138,140.46,13.211332,0.008604,1.346,0.0,1.0,0.0,1.0,0,1.978096,0.982468,0.995628,-48.18,4.61,2.0,18.0,1.0,16.0,11.324,,,913.914,,4500.0,3.5,-0.75,111.0,,,,12.736996,0.049082,18.0,,VARIABLE,0.0,0.0,0.999923,4739.1,4728.7,4760.3,4.1482,4.1455,4.1528,-0.4958,-0.5166,-0.4678,338.3456,335.7129,343.5276,2.1184,2.1067,2.138,1.5633,1.5539,1.5791,0.8491,0.8437,0.8577,MARCS,339.4565038,75.06846265,0.262284,0.312456,0.0155,0.058301,1.4454545454545455,-10610.0,6010.0,-4600.0,1.978095999999999,0.9824669999999998,0.9956289999999992,45.22994493228159,35.01280956447481,41.75417661097852,True,True,True,False,False,346.7045730333183,1.7910405083370118,True,6.507163149808042,30382.300202149807,34982.30020214981,False,True,K0,1.5633,0.422091,0.171963,12.643661,13.626128,11.648032,30389.577909,41000.0,34989.828037,False,False,False,False,True,False,0.6000000000000001,Bronze,Likely
SSTSL2 J041319.96+281023.5,0,0,63.333205,28.173203,168.097989,-16.500445,1,0,7,1,1,1,1,1,2,2,2.0,0,0,0,0,0.0,0,17500.0,18.44,11710.0,20.31,8079.0,25.74,4434.0,32.49,651.8,74.07,0.0,0.0,0.0,0.0,0.0,1.05,0.95,1.02,0.0,0.0,848.6,521.0,270.4,156.3,8.8,2,2,0.0,0,N,1,1.159,1.768,6.02,9.486,86.13,40009211,40009211-321,0,0,5.15,1.92,6.16,1.86,30.04,137432731.0,1,63.33313,28.17336,23010.0,466.3,37460.0,862.6,34290.0,789.6,Gaia DR3 163227453242733184,63.33325184,28.17295923,0.0,0.0,71,1.63615e+18,1.63227e+17,1326358648,0.0328,0.0208,6.1039,0.0378,161.4482,76.718,17.502,0.05,-74.695,0.04,0.3581,-0.0909,-0.0274,0.1455,-0.1603,0.1083,0.4435,0.0476,-0.2667,0.3053,354,0,353,1,1.517,399.97,0.032,0.17093,31,True,1.264,,,,,,,,40,17,0.073299,42,0.01645,163.1,0,0,1.057,0,369,12446.72667,5.69342,2186.16,15.449729,0.0028,42,2249.41,9.86609,227.994,16.958372,0.005519,41,15625.5,14.9421,1045.74,14.263311,0.003919,1.436,0.0,0.0,0.0,1.0,0,2.695061,1.508643,1.186418,-5.03,5.07,2.0,20.0,3.0,12.0,5.5387,,,919.905,,5500.0,4.5,0.0,0.0,,,,13.627117,0.075545,17.0,,NOT_AVAILABLE,0.0,0.0,0.999996,5241.6,5219.2,5273.6,4.6684,4.6547,4.6926,-0.9956,-1.0033,-0.9823,158.6543,157.4957,159.7573,4.5312,4.5162,4.5525,3.2243,3.2118,3.2423,1.8022,1.7948,1.8125,MARCS,63.3331636,28.17329121,0.797139,0.637403,0.2999,0.890056,1.4944491887275833,-14450.0,3170.0,-11280.0,2.695061000000001,1.508643000000001,1.1864179999999998,49.34591464722282,43.426849060978434,43.42705167173252,True,True,True,False,False,163.82968266190468,1.0145582340175947,True,9.377766049861954,23003.928037049864,34283.92803704986,False,True,G8,3.2243,0.870561,0.354673,12.225429,13.734072000000001,11.039011,23009.129439,37460.0,34289.645327,False,False,False,False,False,False,0.6000000000000001,Bronze,Likely
SSTSL2 J041743.94+280557.1,0,0,64.4331,28.099215,168.853916,-15.853031,1,0,7,1,1,1,1,1,2,2,2.0,0,0,0,0,0.0,0,11640.0,11.38,7762.0,11.39,5372.0,16.3,2955.0,17.81,423.2,31.34,0.0,0.0,0.0,0.0,0.0,0.95,1.02,0.98,0.0,0.0,917.9,618.7,298.9,192.5,13.5,0,0,0.0,0,N,1,0.9467,1.403,4.719,7.389,53.03,40009211,40009211-319,0,0,7.15,5.14,6.94,4.82,82.65,138114380.0,1,64.43308,28.09926,13870.0,293.8,23750.0,481.2,22280.0,348.9,Gaia DR3 164480793418882816,64.43314125,28.09917387,0.0,0.0,75,1.63615e+18,1.64481e+17,1299468624,0.0486,0.0297,6.9128,0.0547,126.3598,21.892,11.479,0.065,-18.641,0.051,0.2889,0.1091,-0.0813,-0.0502,-0.1102,-0.0805,0.3277,0.1695,-0.1883,0.1325,384,0,383,1,0.5844,448.74,0.116,1.0266,31,False,1.222,,,,,,,,44,17,0.091235,46,0.05271,171.0,0,0,1.02,0,395,5788.38144,5.16569,1120.54,16.280973,0.002921,45,676.385,7.93989,85.1882,18.263058,0.013047,44,8097.62,17.6708,458.248,14.977002,0.004461,1.516,0.0,2.0,0.0,0.0,0,3.286056,1.982084,1.303971,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.0,0.0,0.999996,4078.7,3837.4,4097.9,4.6607,4.5591,4.6697,0.0905,-0.2922,0.1376,143.1736,141.8469,144.8302,4.2498,3.9789,4.2926,2.758,2.5609,2.7888,1.5771,1.478,1.5918,PHOENIX,64.43308342,28.09925672,1.044445,0.805597,0.1392,0.197701,1.499613501674826,-9880.0,1470.0,-8410.0,3.2860560000000003,1.9820850000000014,1.3039709999999989,47.208985704560924,49.355777223607646,63.85783892232732,True,True,True,False,False,144.65918296493462,1.1446674731197088,True,10.479242960636046,13864.198269960636,22274.198269960638,False,True,K6-K5,2.758,0.7446600000000001,0.30338,13.522973,15.505058000000002,12.219002,13869.25534,23750.0,22279.69662,False,False,False,False,True,False,0.6000000000000001,Bronze,Likely
SSTSL2 J053306.23-004219.7,0,0,83.275969,-0.705495,204.36817,-17.691906,1,0,7,1,1,1,1,1,2,2,2.0,0,0,0,0,0.0,0,16160.0,12.31,10900.0,15.2,7922.0,24.14,4534.0,20.38,43920.0,73.13,0.0,0.0,0.0,0.0,0.0,0.92,0.98,1.02,0.0,0.0,1190.9,638.8,314.9,263.8,600.6,0,0,0.0,0,N,-1,1.045,1.438,6.001,7.371,35.73,40043571,40043571-20,0,0,2.78,2.98,3.08,3.08,25.17,134156122.0,1,83.27599,-0.70549,30700.0,622.2,40400.0,893.1,33330.0,736.7,Gaia DR3 3220679568773158016,83.27600135,-0.705501466,0.0,0.0,121,1.63615e+18,3.22068e+18,270698028,0.0203,0.0172,3.0019,0.0243,123.569,1.88,1.633,0.025,-0.931,0.019,-0.3041,0.0255,-0.3227,0.3146,-0.2213,0.3053,-0.6579,0.1411,0.2143,-0.322,423,0,416,7,9.4051,716.4,0.133,9.5545,31,False,1.364,,,,,,,,49,21,0.038564,50,0.04925,13.09,0,0,1.344,0,394,38626.49068,286.716,134.72,14.220154,0.008517,47,11006.4,322.543,34.1238,15.234429,0.03194,47,38919.7,1000.3,38.9081,13.27247,0.02816,1.293,0.0,2.0,0.0,0.0,0,1.961959,1.014276,0.947683,14.55,2.81,2.0,25.0,4.0,17.0,13.677,,,958.267,,3900.0,1.0,0.0,111.0,,,,12.772022,0.079872,21.0,,VARIABLE,0.0,0.0,0.996487,4124.6,4121.8,4127.7,4.0789,4.0676,4.0993,0.256,0.233,0.2824,322.9345,316.8498,326.4408,0.7937,0.7866,0.8012,0.5641,0.5589,0.5696,0.3101,0.3074,0.313,PHOENIX,83.27599409,-0.705497328,0.406599,0.316682,-0.3371,0.118745,1.4825688073394496,-9700.0,7070.0,-2630.0,1.9619590000000002,1.0142749999999996,0.9476840000000006,49.34104789456766,45.23569589071772,45.24229672865481,True,True,True,False,False,333.12235584130053,2.69658324625857,True,6.607135104140609,30692.38698110414,33322.386981104144,False,True,K6-K5,0.5641,0.15230700000000003,0.062051,13.656054000000001,14.670329,12.70837,30699.847693,40400.0,33329.937949,False,False,False,False,True,False,0.6000000000000001,Bronze,Likely
SSTSL2 J043219.18+262802.3,0,0,68.079945,26.467315,172.363474,-14.550418,1,0,7,1,1,1,1,1,2,2,2.0,0,0,0,0,0.0,0,14340.0,13.58,9397.0,11.61,6353.0,25.3,3526.0,20.16,903.7,136.9,0.0,0.0,0.0,0.0,0.0,0.98,1.02,1.02,0.0,0.0,966.5,733.1,245.7,193.0,6.6,0,2,0.0,0,N,1,0.9598,1.269,4.685,6.685,89.81,40009211,40009211-255,0,0,1.97,4.1,2.03,3.85,9.75,1302887418.0,1,68.07996,26.46731,21360.0,432.8,33170.0,672.2,28730.0,582.2,Gaia DR3 151149210635778048,68.07986993,26.46726951,0.0,0.0,89,1.63615e+18,1.51149e+17,1698645427,0.0403,0.0235,5.4867,0.0445,123.3972,25.604,-21.783,0.055,-13.455,0.039,0.0263,0.1233,-0.0616,0.0184,-0.1839,-0.0118,-0.0961,0.0388,0.201,-0.2352,237,0,237,0,1.7252,281.01,0.11,1.6026,31,True,1.253,,,,,,,,28,16,0.077691,31,0.04598,171.2,0,0,1.08,0,253,12266.61446,8.56569,1432.06,15.465555,0.002858,29,1979.67,10.4063,190.237,17.097061,0.006353,29,15754.2,24.1399,652.62,14.254404,0.004129,1.446,0.0,1.0,0.0,0.0,0,2.842657,1.631506,1.211151,-79.23,7.15,2.0,12.0,1.0,9.0,4.6532,,,919.078,,4500.0,3.5,-0.75,111.0,,,,13.6816,0.100281,14.0,,NOT_AVAILABLE,0.0,0.0,0.999998,4533.9,4507.1,4555.2,4.5212,4.513,4.5287,0.1651,0.1114,0.2218,179.9862,178.5508,181.4811,4.1311,4.0997,4.157,2.8291,2.8051,2.849,1.5361,1.5244,1.5463,MARCS,68.07997808,26.46732931,0.879813,0.628241,-0.2336,0.292148,1.5260189422156007,-11810.0,4440.0,-7370.0,2.842657000000001,1.631506,1.211151000000001,49.35304990757856,49.34543290687295,49.34730333218825,True,True,True,False,False,182.25891701751507,1.4782149210416866,True,9.16211107316334,21353.696556073162,28723.696556073162,False,True,K2-K1,2.8291,0.763857,0.311201,12.636455,14.267961,11.425303999999999,21359.236143,33170.0,28729.688799,False,False,False,False,False,False,0.6000000000000001,Bronze,Likely
SSTSL2 J042901.24+261544.6,0,0,67.255191,26.262399,172.019553,-15.241501,1,0,7,1,1,1,1,1,2,2,2.0,0,0,0,0,0.0,0,6534.0,7.415,4285.0,8.915,2778.0,16.94,1675.0,24.96,326.8,57.33,0.0,0.0,0.0,0.0,0.0,0.95,0.98,0.95,0.0,0.0,801.9,532.0,174.4,83.0,5.7,3,3,3.0,0,N,1,0.7688,1.203,4.103,5.706,72.45,40009211,40009211-238,0,0,3.58,0.98,3.09,1.89,67.54,1302806373.0,1,67.25515,26.26243,11340.0,240.3,16010.0,486.6,12970.0,250.8,Gaia DR3 151315619144194560,67.25513322,26.26240333,0.0,0.0,71,1.63615e+18,1.51316e+17,349349903,0.0338,0.0232,4.2155,0.038,110.9289,3.52,-2.528,0.045,-2.45,0.037,0.2935,0.2105,-0.095,0.0032,-0.0811,-0.0115,0.0462,0.1206,-0.0119,0.3019,274,0,271,3,-0.1165,270.99,0.0,0.0,31,False,1.317,,,,,,,,32,16,0.066778,35,0.02123,166.6,0,0,0.994,0,284,10886.59035,5.76493,1888.42,15.595138,0.002815,30,2731.04,9.85777,277.045,16.74772,0.004811,31,12151.4,13.1824,921.793,14.53633,0.003959,1.367,0.0,0.0,0.0,0.0,0,2.21139,1.152583,1.058807,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999982,4450.1,4421.9,4482.7,4.607,4.5131,4.6235,-0.3746,-0.4141,-0.3256,243.5552,236.9303,285.4285,2.325,2.2738,2.3705,1.6585,1.6189,1.6946,0.8945,0.8729,0.9143,PHOENIX,67.25514575,26.26241422,0.727515,0.598204,0.3014,0.187173,1.5248541423570594,-4670.0,3040.0,-1630.0,2.2113900000000015,1.1525820000000007,1.0588080000000009,47.19101123595505,32.901767365392516,51.71451355661882,True,True,True,False,False,237.21978412999647,2.138382587341921,True,8.719383468187598,11333.124245468187,12963.124245468187,False,True,K2-K1,1.6585,0.44779500000000005,0.182435,13.936638,15.089220000000001,12.87783,11339.552205,16010.0,12969.817565,False,False,False,False,False,False,0.6000000000000001,Bronze,Likely
SSTSL2 J032710.83-290601.0,0,0,51.795141,-29.100291,225.549659,-55.756711,1,0,7,1,1,1,1,1,2,2,2.0,0,0,0,0,0.0,0,9760.0,4.838,6158.0,6.014,4128.0,8.164,2262.0,8.319,311.5,45.15,0.0,0.0,0.0,0.0,0.0,0.98,1.02,1.02,0.0,0.0,1758.6,881.4,450.9,315.1,6.9,0,2,0.0,0,P,2,0.3344,0.5726,1.743,3.144,29.68,60095881,60095881-19,1,1,3.84,4.0,4.05,4.22,61.73,1189948481.0,1,51.79503,-29.10025,18420.0,627.6,23750.0,656.1,18450.0,458.8,Gaia DR3 5056939475503005568,51.79501213,-29.10031877,0.0,0.0,158,1.63615e+18,5.05694e+18,170825703,0.017,0.0249,3.8253,0.0347,110.3066,31.373,30.167,0.022,8.614,0.036,-0.3629,0.0784,-0.1196,0.1215,-0.1402,0.1149,-0.1542,-0.0283,0.1518,-0.4883,626,0,609,17,1.9814,1175.7,0.217,15.063,95,False,,1.3433,0.0057,-0.043,-0.04,0.005,0.043,0.058,71,28,0.052868,92,0.01276,75.85,10,0,1.057,0,750,18103.40903,8.71813,2076.52,15.042966,0.002804,88,6124.3,71.1068,86.1282,15.8709,0.012911,85,25612.8,368.753,69.4579,13.726754,0.016082,1.753,16.0,72.0,16.0,69.0,0,2.144146,0.827934,1.316212,16.94,4.14,2.0,13.0,12.0,8.0,4.8906,,,806.206,,5500.0,4.5,0.75,101.0,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999967,4584.4,4568.8,4600.4,4.4823,4.4388,4.4943,-1.1344,-1.1928,-1.0688,259.8537,256.6132,279.9017,1.9402,1.9204,1.96,1.4265,1.4111,1.4416,0.7795,0.7707,0.7877,MARCS,51.79485868,-29.10035705,0.359164,0.576812,-0.4927,0.417511,1.5849301721338096,-5330.0,5300.0,-30.0,2.144146000000001,0.8279340000000008,1.3162120000000002,29.349904397705544,36.19875019051974,40.21360069747166,True,True,True,False,False,261.4174051708363,2.3713653725009856,True,7.956293502331178,18412.91332750233,18442.91332750233,False,True,K2-K1,1.4265,0.385155,0.156915,13.616465999999999,14.4444,12.300253999999999,18419.614845,23750.0,18449.843085,False,False,False,False,False,False,0.6000000000000001,Bronze,Likely
SSTSL2 J041834.74+280155.1,0,0,64.644767,28.031989,169.038177,-15.763741,1,0,7,1,1,1,1,1,2,2,2.0,0,0,0,0,0.0,0,13390.0,14.52,8557.0,10.96,5729.0,19.72,3244.0,26.42,308.9,38.13,0.0,0.0,0.0,0.0,0.0,0.95,0.98,1.02,0.0,0.0,833.8,736.2,278.2,145.4,8.1,2,0,0.0,0,N,1,0.936,1.328,4.271,6.853,43.35,40009211,40009211-318,0,0,3.83,1.97,3.11,1.9,92.37,138122621.0,1,64.64472,28.0321,21660.0,398.9,31710.0,642.5,27010.0,447.9,Gaia DR3 164488146402995968,64.64480267,28.03182038,0.0,0.0,73,1.63615e+18,1.64488e+17,1009434053,0.0326,0.0197,4.0749,0.0376,108.2666,55.775,20.453,0.047,-51.889,0.036,0.3459,0.1064,-0.0615,-0.0951,-0.0766,-0.0761,0.3322,0.2076,-0.1499,0.2664,457,0,456,1,7.5165,726.51,0.175,7.1146,31,True,1.274,,,,,,,,52,17,0.067502,54,0.006819,96.6,0,0,1.26,0,451,15298.67642,6.14744,2488.63,15.225732,0.00279,45,2944.95,9.91074,297.148,16.665848,0.004597,47,18936.6,21.0848,898.117,14.054642,0.003968,1.43,0.0,1.0,1.0,4.0,0,2.611206,1.440116,1.17109,-11.5,2.99,2.0,25.0,5.0,12.0,6.4142,,,890.096,,4000.0,2.5,-0.25,111.0,,,,13.452216,0.077273,20.0,,NOT_AVAILABLE,0.0,0.0,0.999981,4324.8,4307.1,4339.5,4.3545,4.3391,4.4056,0.0023,-0.0278,0.0736,233.846,221.7555,237.7071,3.0074,2.9721,3.0437,2.0634,2.0376,2.0894,1.1257,1.1128,1.1389,PHOENIX,64.64469968,28.032051,0.751686,0.565513,0.2757,0.617532,1.564800747925675,-10050.0,4700.0,-5350.0,2.611206000000001,1.4401159999999997,1.1710900000000013,54.29932313863124,49.35408560311284,60.30363920517973,True,True,True,False,False,245.40479520969836,2.264404108047966,True,8.276316777059641,21653.05058477706,27003.05058477706,False,True,K4-K3,2.0634,0.5571180000000001,0.226974,13.162332000000001,14.602448,11.991242,21659.442882,31710.0,27009.773026,False,False,False,False,False,False,0.6000000000000001,Bronze,Likely
